latitude,longitude,hashtag,timestamp
13.926412258,100.347899515,"l4l, life, family, look, selfie, nofilter, eyes, hair, instago, all_shots, follow4follow, my, cool, funny, style, webstagram, colorful, instafollow, iphoneonly, 20likes, lol, tagsforlikes, instacool, likeforlike, pretty, sun, bored, tweegram, christmas, nice",1417756487
37.479624,-122.4423535,"vodka, love, rum, абсент, selfie, война, bara, psilocybe, opium, food, creozole, earth, znah, cocaine, datura, me, absent, usarmy, москва, alcohol, usa, cannabis, universe, metamphetamine, россия, cognac, mdma, gin, newyork, war",1417759032
39.4704264,-6.3941064,"body, instaselfie, love, cuteboy, gayboy, madrid, selfie, men, kikgay, kik, gayselfie, birthday, igers, happybirthdaytome, friends, me, boy, gaykik, gay, instaboy, instagay, gayespaña, instafollow, gayspain, gayman, gaymadrid, gays, happy, picoftheday, nice",1417747190
14.56134201,121.02155773,selfie,1417759036
28.064052855,-82.413307226,"nomakeup, medstudentlife, finalweek, asiangirl, selfie, sleepless, gradstudentlife, imjustbored, caffeineoverload, finalcrisis, lastterminmedschool",1417758930
38.887929557,-94.67928504,nofilter,1417759040
-6.222991667,106.84752,"nofilter, noedit",1417759039
-6.3658801,106.8484206,"instaselfie, love, selfienation, selfie, instalove, life, hair, igdaily, shamelessselefie, igers, portrait, face, eyes, selfietime, handsome, me, instagood, fun, smile, asianboy",1417758932
33.922155993,-118.269872312,"selfie, tbt",1417759043
-6.9893771,107.8238561,"brown, glassess, today, ootd, hijab, girl, nofilter, fisheye",1417759044
30.235395371,-97.750927582,"sapfordays, nofilter, clights, noangel",1417759043
35.197068108,129.078878509,"셀스타그램, selfie, 맞팔, 얼스타그램, 셀피",1417759048
45.499645537,-73.563194943,"selfie, doubletrouble, straighthair",1417759051
44.411375617,-79.674981849,"fashion, love, fitspo, selfie, selfiemachine, outfit, chefboyarbree, ootd, smile, pasta, girl, instagood, iliketocookapparently, fitfam, me, style, like4like, healthy, vegetables, likeback, shrimp, yum, eatclean, alfredo, likeforlike, l4l, happy",1411518960
-32.967723077,151.680671502,"beautiful, cute, picstitch, fashion, love, summer, tbt, fun, igers, jj, follow, instadaily, instamood, instagramhub, me, nofilter, followme, instagramtagsdotcom, iphoneonly, sky, iphonesia, instagood, girl, bestoftheday, igdaily, smile, webstagram, tweegram, picoftheday, happy",1417759038
